Model,Makespan (vs Truth),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,9.0,817.0,3.4,0.953,1844,1000,dynamic
AverageOperationModel,-12.0,809.8,3.4,0.953,1844,1000,dynamic
LogNormalDistributionModel,4.0,841.8,3.3,0.953,1844,1000,dynamic
CausalModel,6.0,800.2,3.4,0.953,1844,1000,dynamic
TruthModel,71.0,856.7,3.9,0.96,1845,1000,dynamic
AverageOperationModel,89.0,857.5,3.4,0.959,1845,1000,dynamic
LogNormalDistributionModel,131.0,862.4,3.6,0.959,1845,1000,dynamic
CausalModel,59.0,855.6,3.6,0.96,1845,1000,dynamic
TruthModel,58.0,980.2,3.5,0.956,1846,1000,dynamic
AverageOperationModel,40.0,1000.0,3.3,0.956,1846,1000,dynamic
LogNormalDistributionModel,46.0,960.8,3.2,0.956,1846,1000,dynamic
CausalModel,83.0,1003.1,3.3,0.956,1846,1000,dynamic
TruthModel,56.0,987.2,4.9,0.957,1847,1000,dynamic
AverageOperationModel,42.0,993.1,5.0,0.957,1847,1000,dynamic
LogNormalDistributionModel,174.0,1066.7,5.3,0.957,1847,1000,dynamic
CausalModel,88.0,974.6,5.0,0.957,1847,1000,dynamic
TruthModel,12.0,593.6,2.9,0.962,1848,1000,dynamic
AverageOperationModel,20.0,588.7,2.9,0.962,1848,1000,dynamic
LogNormalDistributionModel,31.0,589.8,2.7,0.962,1848,1000,dynamic
CausalModel,-6.0,588.1,3.0,0.962,1848,1000,dynamic
TruthModel,2.0,734.5,3.5,0.957,1849,1000,dynamic
AverageOperationModel,-32.0,725.2,3.5,0.958,1849,1000,dynamic
LogNormalDistributionModel,-56.0,720.8,3.3,0.957,1849,1000,dynamic
CausalModel,-15.0,730.5,3.4,0.957,1849,1000,dynamic
TruthModel,-104.0,1224.1,4.2,0.947,1850,1000,dynamic
AverageOperationModel,-110.0,1244.5,4.0,0.948,1850,1000,dynamic
LogNormalDistributionModel,-84.0,1254.3,4.4,0.948,1850,1000,dynamic
CausalModel,-118.0,1218.5,4.1,0.948,1850,1000,dynamic
TruthModel,-67.0,743.2,3.3,0.958,1851,1000,dynamic
AverageOperationModel,-134.0,703.5,3.3,0.958,1851,1000,dynamic
LogNormalDistributionModel,-82.0,726.1,3.1,0.958,1851,1000,dynamic
CausalModel,4.0,791.1,3.6,0.958,1851,1000,dynamic
TruthModel,12.0,744.2,4.1,0.962,1852,1000,dynamic
AverageOperationModel,12.0,743.8,3.9,0.962,1852,1000,dynamic
LogNormalDistributionModel,5.0,771.1,4.0,0.962,1852,1000,dynamic
CausalModel,-29.0,708.1,3.7,0.962,1852,1000,dynamic
TruthModel,-92.0,884.5,3.2,0.949,1853,1000,dynamic
AverageOperationModel,-129.0,863.4,3.4,0.949,1853,1000,dynamic
LogNormalDistributionModel,-122.0,872.0,3.4,0.949,1853,1000,dynamic
CausalModel,-60.0,901.9,3.4,0.949,1853,1000,dynamic
