Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,554,4000,fcfs
AverageOperationModel,-6.0,46.4,0.3,0.997,554,4000,fcfs
LogNormalDistributionModel,18.0,43.4,0.2,0.999,554,4000,fcfs
CausalModel,3.0,14.5,-0.3,0.998,554,4000,fcfs
CausalContinousModel,2.0,11.4,-0.3,0.998,554,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,555,4000,fcfs
AverageOperationModel,-6.0,36.1,0.2,0.998,555,4000,fcfs
LogNormalDistributionModel,-3.0,48.6,0.3,0.994,555,4000,fcfs
CausalModel,3.0,10.8,0.7,0.999,555,4000,fcfs
CausalContinousModel,6.0,16.9,0.5,0.997,555,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,556,4000,fcfs
AverageOperationModel,-18.0,52.0,-0.3,0.999,556,4000,fcfs
LogNormalDistributionModel,-17.0,69.9,-1.0,0.999,556,4000,fcfs
CausalModel,-11.0,14.6,-0.4,0.998,556,4000,fcfs
CausalContinousModel,-10.0,20.8,-0.4,0.996,556,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,557,4000,fcfs
AverageOperationModel,-7.0,38.6,0.0,0.998,557,4000,fcfs
LogNormalDistributionModel,7.0,41.0,-0.4,0.997,557,4000,fcfs
CausalModel,4.0,14.5,0.6,0.998,557,4000,fcfs
CausalContinousModel,0.0,11.5,-0.2,0.999,557,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,558,4000,fcfs
AverageOperationModel,-6.0,68.2,-1.2,0.999,558,4000,fcfs
LogNormalDistributionModel,-5.0,66.7,-0.7,0.999,558,4000,fcfs
CausalModel,11.0,27.9,-1.1,0.999,558,4000,fcfs
CausalContinousModel,-1.0,12.7,-1.4,0.998,558,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,559,4000,fcfs
AverageOperationModel,-8.0,55.0,-0.1,0.999,559,4000,fcfs
LogNormalDistributionModel,-7.0,60.9,-0.5,0.997,559,4000,fcfs
CausalModel,-1.0,17.0,0.0,0.999,559,4000,fcfs
CausalContinousModel,10.0,27.6,-0.7,0.998,559,4000,fcfs
TruthModel,0.0,0.0,0.0,1.0,560,4000,fcfs
AverageOperationModel,-6.0,61.6,-0.8,0.999,560,4000,fcfs
LogNormalDistributionModel,-6.0,76.9,-1.4,0.998,560,4000,fcfs
CausalModel,-2.0,15.2,-0.6,0.997,560,4000,fcfs
CausalContinousModel,9.0,13.5,-0.5,0.999,560,4000,fcfs
